    id    power(W) source(n/s)
   151 3.70111E+00 1.90702E+09
   155 3.70111E+00 1.90702E+09
   156 3.70111E+00 1.90702E+09
   126 3.29075E+00 1.69581E+09
   127 3.29075E+00 1.69581E+09
   131 3.29075E+00 1.69581E+09
   132 3.29075E+00 1.69581E+09
   151 3.70111E+00 1.90702E+09
   152 3.70111E+00 1.90702E+09
   156 3.70111E+00 1.90702E+09
   157 3.70111E+00 1.90702E+09
   127 3.29075E+00 1.69581E+09
   128 3.29075E+00 1.69581E+09
   132 3.29075E+00 1.69581E+09
   133 3.29075E+00 1.69581E+09
   152 3.70111E+00 1.90702E+09
   153 3.70111E+00 1.90702E+09
   157 3.70111E+00 1.90702E+09
   158 3.70111E+00 1.90702E+09
   128 3.29075E+00 1.69581E+09
   129 3.29075E+00 1.69581E+09
   133 3.29075E+00 1.69581E+09
   134 3.29075E+00 1.69581E+09
   153 3.70111E+00 1.90702E+09
   154 3.70111E+00 1.90702E+09
   158 3.70111E+00 1.90702E+09
   159 3.70111E+00 1.90702E+09
   130 3.29075E+00 1.69581E+09
   131 3.29075E+00 1.69581E+09
   135 3.29075E+00 1.69581E+09
   136 3.29075E+00 1.69581E+09
   155 3.70111E+00 1.90702E+09
   156 3.70111E+00 1.90702E+09
   160 3.70111E+00 1.90702E+09
   161 3.70111E+00 1.90702E+09
   131 3.29075E+00 1.69581E+09
   132 3.29075E+00 1.69581E+09
   136 3.29075E+00 1.69581E+09
   137 3.29075E+00 1.69581E+09
   156 3.70111E+00 1.90702E+09
   157 3.70111E+00 1.90702E+09
   161 3.70111E+00 1.90702E+09
   162 3.70111E+00 1.90702E+09
   132 3.29075E+00 1.69581E+09
   133 3.29075E+00 1.69581E+09
   137 3.29075E+00 1.69581E+09
   138 3.29075E+00 1.69581E+09
   157 3.70111E+00 1.90702E+09
   158 3.70111E+00 1.90702E+09
   162 3.70111E+00 1.90702E+09
   163 3.70111E+00 1.90702E+09
   133 3.29075E+00 1.69581E+09
   134 3.29075E+00 1.69581E+09
   138 3.29075E+00 1.69581E+09
   139 3.29075E+00 1.69581E+09
   158 3.70111E+00 1.90702E+09
   159 3.70111E+00 1.90702E+09
   163 3.70111E+00 1.90702E+09
   164 3.70111E+00 1.90702E+09
   135 3.29075E+00 1.69581E+09
   136 3.29075E+00 1.69581E+09
   140 3.29075E+00 1.69581E+09
   141 3.29075E+00 1.69581E+09
   160 3.70111E+00 1.90702E+09
   161 3.70111E+00 1.90702E+09
   165 3.70111E+00 1.90702E+09
   166 3.70111E+00 1.90702E+09
   136 3.29075E+00 1.69581E+09
   137 3.29075E+00 1.69581E+09
   141 3.29075E+00 1.69581E+09
   142 3.29075E+00 1.69581E+09
   161 3.70111E+00 1.90702E+09
   162 3.70111E+00 1.90702E+09
   166 3.70111E+00 1.90702E+09
   167 3.70111E+00 1.90702E+09
   137 3.29075E+00 1.69581E+09
   138 3.29075E+00 1.69581E+09
   142 3.29075E+00 1.69581E+09
   143 3.29075E+00 1.69581E+09
   162 3.70111E+00 1.90702E+09
   163 3.70111E+00 1.90702E+09
   167 3.70111E+00 1.90702E+09
   168 3.70111E+00 1.90702E+09
   138 3.29075E+00 1.69581E+09
   139 3.29075E+00 1.69581E+09
   143 3.29075E+00 1.69581E+09
   144 3.29075E+00 1.69581E+09
   163 3.70111E+00 1.90702E+09
